"VCF0114","VCF0004","VCF0704a"
3,1948,0
4,1948,0
2,1948,0
4,1948,2
3,1948,0
4,1948,0
2,1948,0
3,1948,2
1,1948,0
3,1948,0
5,1948,0
3,1948,0
1,1948,0
1,1948,2
4,1948,0
2,1948,1
3,1948,0
4,1948,0
1,1948,0
5,1948,1
3,1948,0
3,1948,0
2,1948,2
1,1948,0
2,1948,0
4,1948,1
3,1948,0
3,1948,2
5,1948,2
1,1948,2
2,1948,0
3,1948,0
2,1948,0
2,1948,0
4,1948,0
4,1948,1
4,1948,0
3,1948,1
3,1948,0
4,1948,1
3,1948,0
1,1948,0
3,1948,0
4,1948,2
2,1948,1
4,1948,2
4,1948,0
4,1948,0
3,1948,1
4,1948,1
4,1948,0
4,1948,1
2,1948,0
3,1948,0
4,1948,0
1,1948,0
2,1948,0
2,1948,0
2,1948,0
1,1948,0
3,1948,0
1,1948,0
5,1948,1
1,1948,0
4,1948,0
4,1948,0
4,1948,1
3,1948,0
3,1948,2
4,1948,0
4,1948,2
2,1948,2
3,1948,0
3,1948,0
3,1948,1
3,1948,1
4,1948,0
4,1948,2
5,1948,0
3,1948,2
2,1948,2
1,1948,0
4,1948,2
0,1948,0
2,1948,0
4,1948,0
4,1948,0
1,1948,0
2,1948,0
4,1948,0
1,1948,0
1,1948,0
2,1948,0
2,1948,2
2,1948,0
2,1948,1
5,1948,1
3,1948,0
2,1948,2
1,1948,0
3,1948,0
5,1948,0
5,1948,0
4,1948,2
4,1948,1
4,1948,2
5,1948,2
5,1948,1
3,1948,1
4,1948,0
5,1948,2
2,1948,2
3,1948,1
4,1948,2
3,1948,2
3,1948,1
4,1948,1
4,1948,2
5,1948,0
4,1948,2
4,1948,0
2,1948,0
5,1948,2
4,1948,0
0,1948,0
2,1948,0
1,1948,0
2,1948,1
5,1948,0
3,1948,1
5,1948,1
2,1948,1
3,1948,0
3,1948,1
4,1948,0
3,1948,0
4,1948,2
3,1948,0
5,1948,1
4,1948,1
4,1948,1
4,1948,1
3,1948,1
4,1948,2
2,1948,0
5,1948,0
3,1948,2
4,1948,1
4,1948,1
3,1948,0
1,1948,0
3,1948,0
3,1948,0
2,1948,0
3,1948,0
2,1948,0
5,1948,0
4,1948,0
4,1948,1
5,1948,2
4,1948,1
4,1948,0
3,1948,0
3,1948,1
3,1948,2
2,1948,1
1,1948,1
2,1948,1
3,1948,1
4,1948,1
4,1948,0
5,1948,2
1,1948,0
1,1948,1
4,1948,1
4,1948,2
3,1948,1
3,1948,0
3,1948,0
5,1948,2
3,1948,0
5,1948,2
3,1948,0
3,1948,0
4,1948,2
1,1948,2
1,1948,0
1,1948,0
1,1948,0
4,1948,1
1,1948,0
1,1948,0
1,1948,0
2,1948,0
5,1948,0
3,1948,1
1,1948,0
2,1948,0
3,1948,1
3,1948,0
3,1948,2
4,1948,1
4,1948,0
1,1948,0
1,1948,0
1,1948,0
5,1948,1
2,1948,1
4,1952,2
4,1952,1
3,1952,2
3,1952,2
1,1952,2
4,1952,2
1,1952,2
2,1952,1
1,1952,0
4,1952,2
3,1952,2
4,1952,2
4,1952,1
1,1952,2
1,1952,1
3,1952,1
4,1952,1
1,1952,1
2,1952,2
3,1952,1
4,1952,0
3,1952,2
4,1952,2
2,1952,1
0,1952,0
2,1952,0
1,1952,2
1,1952,0
3,1952,1
1,1952,0
4,1952,0
1,1952,1
3,1952,0
2,1952,0
3,1952,0
3,1952,2
2,1952,2
0,1952,0
4,1952,0
3,1952,1
3,1952,0
4,1952,1
1,1952,0
3,1952,2
1,1952,0
1,1952,0
2,1952,2
1,1952,0
4,1952,1
1,1952,2
1,1952,0
3,1952,0
2,1952,1
3,1952,2
3,1952,0
3,1952,0
1,1952,2
4,1952,2
1,1952,0
2,1952,0
2,1952,0
1,1952,2
4,1952,0
0,1952,0
1,1952,2
0,1952,0
2,1952,1
3,1952,2
2,1952,1
4,1952,2
3,1952,1
4,1952,0
3,1952,2
4,1952,1
3,1952,2
4,1952,2
4,1952,1
3,1952,2
1,1952,2
2,1952,2
2,1952,2
4,1952,1
3,1952,2
3,1952,2
2,1952,0
2,1952,1
1,1952,2
1,1952,2
4,1952,0
4,1952,1
3,1952,2
3,1952,1
1,1952,1
4,1952,2
4,1952,2
3,1952,0
1,1952,0
1,1952,0
2,1952,0
1,1952,1
1,1952,0
1,1952,1
1,1952,1
1,1952,0
2,1952,0
4,1952,1
3,1952,1
3,1952,0
4,1952,2
3,1952,2
1,1952,0
2,1952,1
1,1952,0
1,1952,2
3,1952,1
2,1952,0
4,1952,2
4,1952,2
2,1952,2
3,1952,1
2,1952,2
3,1952,0
2,1952,2
3,1952,1
2,1952,0
3,1952,0
1,1952,0
5,1952,2
1,1952,2
3,1952,1
4,1952,1
1,1952,2
3,1952,0
2,1952,2
1,1952,0
2,1952,0
3,1952,1
4,1952,2
4,1952,0
5,1952,1
4,1952,1
1,1952,1
2,1952,1
2,1952,0
4,1952,2
3,1952,2
4,1952,1
1,1952,1
1,1952,2
2,1952,1
4,1952,1
4,1952,2
2,1952,2
2,1952,1
3,1952,1
2,1952,2
4,1952,0
1,1952,0
3,1952,2
3,1952,0
1,1952,0
2,1952,2
4,1952,2
1,1952,1
1,1952,0
4,1952,2
3,1952,2
5,1952,2
3,1952,2
1,1952,0
3,1952,2
4,1952,1
3,1952,0
3,1952,1
4,1952,1
1,1952,0
1,1952,0
4,1952,1
1,1952,0
1,1952,1
4,1952,1
3,1952,0
1,1952,0
1,1952,0
3,1952,2
4,1952,2
2,1952,2
4,1952,2
3,1952,2
4,1952,1
4,1952,0
1,1952,0
3,1952,2
3,1952,1
4,1952,2
3,1952,2
4,1952,2
2,1952,0
3,1952,2
5,1952,2
1,1952,0
3,1952,1
1,1952,2
2,1952,2
1,1952,0
4,1952,2
2,1952,0
4,1952,2
5,1952,2
1,1952,1
4,1952,1
3,1952,0
3,1952,0
3,1952,0
3,1952,2
4,1952,0
4,1952,0
4,1952,2
4,1952,2
4,1952,0
3,1952,0
1,1952,0
4,1952,1
4,1952,1
3,1952,2
4,1952,1
4,1952,2
4,1952,0
4,1952,2
4,1952,1
3,1952,0
4,1952,2
4,1952,0
3,1952,0
4,1952,0
4,1952,2
1,1952,0
3,1952,0
3,1952,0
4,1952,0
1,1952,2
1,1952,0
3,1952,2
1,1952,2
4,1952,2
3,1952,1
2,1952,2
3,1952,1
4,1952,0
3,1952,1
4,1952,2
4,1952,2
4,1952,1
3,1952,2
2,1952,1
3,1952,1
3,1952,0
1,1952,1
3,1952,0
1,1952,2
2,1952,0
1,1952,0
2,1952,1
1,1952,1
3,1952,1
4,1952,2
3,1952,2
1,1952,0
3,1952,0
4,1952,1
4,1952,1
3,1952,0
2,1952,2
4,1952,0
4,1952,1
2,1952,2
2,1952,0
1,1952,0
1,1952,2
5,1952,2
2,1952,0
2,1952,2
4,1952,2
1,1952,0
5,1952,1
2,1952,1
3,1952,1
2,1952,1
5,1952,1
4,1952,2
4,1952,1
2,1952,0
3,1952,1
3,1952,2
2,1952,2
4,1952,0
1,1952,2
1,1952,1
4,1952,1
4,1952,0
4,1952,1
5,1952,2
1,1952,0
2,1952,2
2,1952,0
2,1952,0
3,1952,0
3,1952,1
4,1952,1
4,1952,1
4,1952,2
4,1952,1
5,1952,0
1,1952,2
4,1952,1
3,1952,1
1,1952,2
4,1952,2
1,1952,2
1,1952,1
3,1952,2
0,1952,2
4,1952,2
4,1952,0
2,1952,0
2,1952,2
1,1952,0
3,1952,1
3,1952,1
4,1952,2
1,1952,1
1,1952,2
4,1952,0
4,1952,2
1,1952,2
4,1952,2
0,1952,0
1,1952,0
5,1952,2
4,1952,1
1,1952,0
1,1952,0
4,1952,2
2,1952,2
3,1952,2
4,1952,1
3,1952,1
1,1952,1
4,1952,0
2,1952,1
4,1952,2
4,1952,2
2,1952,2
1,1952,0
4,1952,1
4,1952,2
4,1952,1
3,1952,2
5,1952,0
4,1952,0
4,1952,1
3,1952,2
4,1952,2
1,1952,2
3,1952,2
1,1952,1
2,1952,0
4,1952,2
4,1952,2
1,1952,1
4,1952,0
4,1952,1
4,1952,2
4,1952,2
4,1952,2
4,1952,0
1,1952,1
5,1952,2
4,1952,0
3,1952,1
4,1952,2
4,1952,0
4,1952,1
2,1952,1
4,1952,1
4,1952,1
3,1952,0
4,1952,1
4,1952,0
1,1952,0
3,1952,1
5,1952,2
2,1952,2
1,1952,0
4,1952,2
4,1952,0
4,1952,1
4,1952,2
2,1952,2
4,1952,0
4,1952,0
3,1952,1
4,1952,0
4,1952,0
5,1952,2
3,1952,2
1,1952,0
3,1952,1
4,1952,2
3,1952,0
2,1952,1
1,1952,0
2,1952,1
4,1952,2
5,1952,2
4,1952,1
2,1952,1
2,1952,0
1,1952,0
4,1952,2
1,1952,0
1,1952,2
4,1952,1
4,1952,2
1,1952,2
2,1952,0
4,1952,1
4,1952,2
2,1952,2
3,1952,2
3,1952,0
4,1952,2
3,1952,1
1,1952,1
3,1952,2
4,1952,1
3,1952,1
4,1952,0
2,1952,2
3,1952,0
4,1952,1
4,1952,2
3,1952,2
1,1952,0
3,1952,2
3,1952,0
1,1952,1
4,1952,2
3,1952,1
3,1952,1
2,1952,0
0,1952,0
4,1952,2
1,1952,0
1,1952,0
1,1952,1
4,1952,1
2,1952,0
1,1952,0
4,1952,2
2,1952,0
3,1952,2
1,1952,0
2,1952,2
4,1952,1
2,1952,2
4,1952,2
3,1952,2
4,1952,1
3,1952,1
3,1952,1
4,1952,1
2,1952,2
4,1952,2
3,1952,1
3,1952,0
4,1952,0
4,1952,2
4,1952,1
3,1952,1
4,1952,1
5,1952,2
4,1952,2
1,1952,2
4,1952,2
2,1952,1
4,1952,1
2,1952,0
1,1952,1
4,1952,2
3,1952,1
5,1952,2
2,1952,1
4,1952,2
1,1952,2
5,1952,2
4,1952,2
4,1952,2
3,1952,0
3,1952,0
0,1952,0
3,1952,2
3,1952,1
2,1952,0
4,1952,2
1,1952,1
1,1952,2
1,1952,0
4,1952,0
1,1952,2
5,1952,1
3,1952,0
4,1952,1
4,1952,1
1,1952,0
1,1952,0
2,1952,0
3,1952,2
3,1952,1
1,1952,0
5,1952,2
3,1952,2
1,1952,1
2,1952,1
2,1952,0
1,1952,0
5,1952,0
0,1952,0
0,1952,0
1,1952,0
2,1952,2
4,1952,1
2,1952,0
3,1952,2
1,1952,2
4,1952,2
2,1952,0
3,1952,1
3,1952,1
2,1952,2
1,1952,0
1,1952,2
4,1952,0
2,1952,1
4,1952,0
1,1952,1
4,1952,2
1,1952,0
3,1952,2
3,1952,0
5,1952,2
3,1952,0
2,1952,2
2,1952,2
1,1952,0
1,1952,0
4,1952,2
4,1952,1
1,1952,0
2,1952,2
2,1952,0
4,1952,0
4,1952,2
3,1952,1
2,1952,2
4,1952,0
1,1952,1
3,1952,1
3,1952,2
2,1952,0
2,1952,1
1,1952,0
3,1952,2
1,1952,0
5,1952,2
4,1952,2
4,1952,2
4,1952,1
3,1952,2
2,1952,1
3,1952,2
2,1952,0
3,1952,0
4,1952,0
4,1952,2
4,1952,2
3,1952,0
4,1952,0
4,1952,1
3,1952,0
4,1952,2
4,1952,1
1,1952,1
2,1952,0
1,1952,2
1,1952,1
4,1952,2
3,1952,2
1,1952,0
0,1952,0
2,1952,1
3,1952,1
1,1952,2
4,1952,0
4,1952,2
0,1952,0
4,1952,2
2,1952,0
3,1952,2
1,1952,0
1,1952,2
4,1952,2
4,1952,2
2,1952,2
2,1952,0
4,1952,2
1,1952,0
3,1952,0
4,1952,2
1,1952,0
3,1952,2
4,1952,0
4,1952,1
3,1952,1
4,1952,1
4,1952,2
5,1952,2
4,1952,0
4,1952,2
4,1952,2
2,1952,1
0,1952,0
2,1952,2
4,1952,2
1,1952,0
4,1952,1
3,1952,2
4,1952,2
3,1952,2
2,1952,0
3,1952,2
4,1952,2
5,1952,2
4,1952,2
5,1952,2
3,1952,1
2,1952,0
2,1952,0
1,1952,2
4,1952,2
1,1952,2
1,1952,2
4,1952,2
3,1952,0
1,1952,0
4,1952,0
1,1952,0
4,1952,2
3,1952,1
4,1952,1
0,1952,2
4,1952,2
4,1952,1
4,1952,0
4,1952,1
3,1952,1
2,1952,2
4,1952,0
5,1952,2
4,1952,2
1,1952,1
4,1952,2
4,1952,2
4,1952,2
4,1952,2
4,1952,2
4,1952,2
4,1952,2
2,1952,0
2,1952,0
1,1952,0
1,1952,0
1,1952,0
3,1952,2
4,1952,2
4,1952,2
1,1952,1
4,1952,2
1,1952,0
4,1952,1
2,1952,0
1,1952,1
2,1952,2
4,1952,0
1,1952,2
1,1952,0
4,1952,2
3,1952,2
4,1952,1
3,1952,1
4,1952,2
3,1952,2
4,1952,2
1,1952,2
4,1952,1
2,1952,2
2,1952,0
4,1952,1
2,1952,1
2,1952,0
4,1952,2
4,1952,0
5,1952,2
2,1952,2
2,1952,2
3,1952,2
1,1952,1
4,1952,2
3,1952,2
4,1952,0
4,1952,1
1,1952,0
1,1952,2
1,1952,0
4,1952,1
2,1952,2
4,1952,2
4,1952,2
4,1952,1
4,1952,1
2,1952,0
4,1952,0
0,1952,2
1,1952,1
3,1952,1
4,1952,2
4,1952,2
4,1952,0
4,1952,1
4,1952,2
5,1952,1
1,1952,1
4,1952,2
4,1952,1
4,1952,2
1,1952,0
4,1952,1
1,1952,0
2,1952,1
3,1952,2
5,1952,2
4,1952,2
4,1952,1
0,1952,0
3,1952,0
1,1952,1
2,1952,2
4,1952,1
1,1952,2
4,1952,1
2,1952,1
4,1952,2
3,1952,1
2,1952,2
4,1952,2
2,1952,0
1,1952,0
2,1952,0
4,1952,1
4,1952,1
4,1952,1
2,1952,2
3,1952,0
5,1952,2
1,1952,1
5,1952,2
3,1952,0
2,1952,2
4,1952,0
1,1952,1
4,1952,0
3,1952,1
0,1952,1
3,1952,2
4,1952,1
3,1952,1
1,1952,0
1,1952,2
1,1952,2
3,1952,0
5,1952,2
4,1952,1
3,1952,1
0,1952,2
4,1952,2
0,1952,0
2,1952,0
1,1952,0
4,1952,2
4,1952,0
4,1952,2
2,1952,1
4,1952,0
4,1952,0
2,1952,2
4,1952,0
1,1952,0
3,1952,2
5,1952,2
2,1952,0
4,1952,2
3,1952,0
3,1952,2
2,1952,2
3,1952,2
1,1952,2
3,1952,1
3,1952,1
0,1952,1
3,1952,2
2,1952,0
1,1952,0
5,1952,1
4,1952,1
2,1952,1
3,1952,1
3,1952,0
4,1952,2
0,1952,0
3,1952,2
1,1952,1
4,1952,0
3,1952,2
1,1952,2
1,1952,0
4,1952,1
4,1952,0
3,1952,2
0,1952,0
0,1952,0
4,1952,1
3,1952,2
5,1952,1
4,1952,0
4,1952,0
1,1952,0
4,1952,1
4,1952,1
0,1952,0
3,1952,1
2,1952,0
2,1952,0
4,1952,1
5,1952,1
4,1952,2
1,1952,1
4,1952,1
2,1952,0
3,1952,1
4,1952,2
4,1952,1
2,1952,1
1,1952,2
0,1952,0
1,1952,0
1,1952,2
4,1952,2
3,1952,0
0,1952,2
1,1952,0
1,1952,2
3,1952,2
2,1952,1
3,1952,1
1,1952,0
3,1952,0
2,1952,1
3,1952,2
2,1952,0
3,1952,0
4,1952,1
4,1952,1
2,1952,2
1,1952,2
3,1952,2
4,1952,0
4,1952,2
3,1952,2
2,1952,2
3,1952,2
2,1952,0
2,1952,2
3,1952,1
1,1952,0
3,1952,2
1,1952,0
3,1952,2
0,1952,2
3,1952,0
3,1952,1
4,1952,2
1,1952,0
1,1952,2
4,1952,2
5,1952,2
4,1952,2
1,1952,1
1,1952,0
3,1952,1
4,1952,0
1,1952,2
3,1952,1
5,1952,0
4,1952,0
1,1952,0
3,1952,2
4,1952,2
2,1952,2
3,1952,0
1,1952,0
3,1952,2
0,1952,2
4,1952,0
5,1952,0
4,1952,2
4,1952,1
1,1952,0
3,1952,0
3,1952,2
4,1952,2
2,1952,2
4,1952,2
4,1952,0
3,1952,2
1,1952,2
2,1952,0
2,1952,1
3,1952,0
4,1952,2
4,1952,2
4,1952,2
4,1952,2
3,1952,1
4,1952,0
4,1952,1
1,1952,2
1,1952,0
1,1952,2
1,1952,2
4,1952,0
4,1952,0
1,1952,1
4,1952,2
4,1952,1
1,1952,1
4,1952,0
0,1952,2
1,1952,0
4,1952,2
3,1952,0
3,1952,2
4,1952,0
2,1952,0
3,1952,0
5,1952,2
1,1952,2
2,1952,0
4,1952,0
4,1952,2
2,1952,1
1,1952,2
2,1952,0
3,1952,0
4,1952,1
3,1952,2
0,1952,0
4,1952,2
4,1952,1
3,1952,1
2,1952,0
4,1952,1
2,1952,2
1,1952,0
4,1952,1
0,1952,0
4,1952,2
3,1952,0
3,1952,0
1,1952,0
4,1952,0
4,1952,1
4,1952,2
1,1952,2
1,1952,1
4,1952,2
1,1952,0
3,1952,1
4,1952,2
2,1952,0
3,1952,0
1,1952,1
3,1952,1
1,1952,0
4,1952,0
3,1952,2
4,1952,2
3,1952,1
2,1952,0
1,1952,1
4,1952,2
4,1952,2
4,1952,2
4,1952,2
2,1952,1
3,1952,0
3,1952,0
3,1952,2
2,1952,0
3,1952,1
5,1952,2
4,1952,2
2,1952,2
4,1952,0
2,1952,1
3,1952,0
3,1952,1
4,1952,2
4,1952,0
4,1952,2
3,1952,2
4,1952,2
4,1952,2
0,1952,0
3,1952,1
4,1952,2
4,1952,2
4,1952,2
4,1952,1
4,1952,1
4,1952,2
4,1952,1
4,1952,0
4,1952,2
3,1952,2
